,mae_test_norm_mean,mae_test_norm_std,mae_test_vector_mean,mae_test_vector_std,mae_train_norm_mean,mae_train_norm_std,mae_train_vector_mean,mae_train_vector_std,path
0,7.1311426948619285,0.6256312144722201,6.7287606797012245,0.2790490900303943,5.119432405042113,0.19593757405379103,5.424725658676833,0.31870528118382624,data/191121_1625/ML.csv
1,9.539870286077209,0.9430606539075214,7.745110182434149,0.3652133402362563,5.996680362343264,0.2246997745847229,3.706596616721746,0.1866059569899442,data/191106_1152/ML.csv
2,6.975276333225911,0.6652197122123076,7.314437973999207,0.9635830431961827,4.337339601809246,0.3105949824188876,4.814253949345625,0.42601302414748954,data/191204_1956/ML.csv
3,7.721693614122029,0.9291339089049995,8.188355009464706,1.2029813417431345,5.4796001974448485,0.2915754549812928,5.344426646125897,0.3379791517578187,data/191204_2012/ML.csv
4,4.644412016898708,0.7101222399535162,5.7986392468407,0.8071454503498711,3.436514580767583,0.30121252131501525,4.492735235280276,0.32928690522690385,data/191211_1649/ML.csv
5,7.066562030775648,0.25497153453114585,7.160027162850424,0.40809761307182246,5.332047462109314,0.23643119322510878,5.4662352942429,0.27171713390139113,data/191121_1625/ML.csv
6,7.779188184253286,0.7505301900930149,8.354618302731728,1.3380641675045852,3.7399904575512353,0.3849712979053132,2.778119191605133,0.5294732676297604,data/191106_1152/ML.csv
7,7.20244631439825,0.6017755723767402,7.829436898342514,0.7538229704770252,5.0265148837080975,0.8006300204123404,5.77263016994762,0.5760178736934409,data/191204_1956/ML.csv
8,6.872158947461867,1.2785431286101208,8.605421920189627,1.0459201904291233,5.659197702566221,0.40688569201902663,5.904393007594587,0.3756315263974699,data/191204_2012/ML.csv
9,4.344710234110623,0.15162379801726839,4.80089612631606,0.5684640057673969,3.7016415969509757,0.40358296197685195,4.252008366574977,0.4294953528552281,data/191211_1649/ML.csv
